level,rank,tier,hours
1,Novice,Iron,5
2,Apprentice,Iron,10
3,Journeyman,Iron,15
4,Adept,Iron,20
5,Specialist,Iron,25
6,Expert,Iron,30
7,Master,Iron,35
8,Grandmaster,Iron,40
9,Novice,Copper,45
10,Apprentice,Copper,50
11,Journeyman,Copper,55
12,Adept,Copper,60
13,Specialist,Copper,65
14,Expert,Copper,70
15,Master,Copper,75
16,Grandmaster,Copper,80
17,Novice,Bronze,85
18,Apprentice,Bronze,90
19,Journeyman,Bronze,95
20,Adept,Bronze,100
21,Specialist,Bronze,105
22,Expert,Bronze,110
23,Master,Bronze,115
24,Grandmaster,Bronze,120
25,Novice,Silver,125
26,Apprentice,Silver,130
27,Journeyman,Silver,135
28,Adept,Silver,140
29,Specialist,Silver,145
30,Expert,Silver,150
31,Master,Silver,155
32,Grandmaster,Silver,160
33,Novice,Gold,165
34,Apprentice,Gold,170
35,Journeyman,Gold,175
36,Adept,Gold,180
37,Specialist,Gold,185
38,Expert,Gold,190
39,Master,Gold,195
40,Grandmaster,Gold,200
41,Novice,Platinum,205
42,Apprentice,Platinum,210
43,Journeyman,Platinum,215
44,Adept,Platinum,220
45,Specialist,Platinum,225
46,Expert,Platinum,230
47,Master,Platinum,235
48,Grandmaster,Platinum,240
49,Novice,Diamond,245
50,Apprentice,Diamond,250
51,Journeyman,Diamond,255
52,Adept,Diamond,260
53,Specialist,Diamond,265
54,Expert,Diamond,270
55,Master,Diamond,275
56,Grandmaster,Diamond,280
57,Novice,Obsidian,285
58,Apprentice,Obsidian,290
59,Journeyman,Obsidian,295
60,Adept,Obsidian,300
61,Specialist,Obsidian,305
62,Expert,Obsidian,310
63,Master,Obsidian,315
64,Grandmaster,Obsidian,320
65,Novice,Adamant,325
66,Apprentice,Adamant,330
67,Journeyman,Adamant,335
68,Adept,Adamant,340
69,Specialist,Adamant,345
70,Expert,Adamant,350
71,Master,Adamant,355
72,Grandmaster,Adamant,360
73,Novice,Celestial,365
74,Apprentice,Celestial,370
75,Journeyman,Celestial,375
76,Adept,Celestial,380
77,Specialist,Celestial,385
78,Expert,Celestial,390
79,Master,Celestial,395
80,Grandmaster,Celestial,400
