level,rank,guild,hours
1,Novice,Iron,2
2,Apprentice,Iron,4
3,Journeyman,Iron,6
4,Adept,Iron,8
5,Specialist,Iron,10
6,Expert,Iron,13
7,Master,Iron,15
8,Grandmaster,Iron,17
9,Novice,Copper,20
10,Apprentice,Copper,22
11,Journeyman,Copper,25
12,Adept,Copper,27
13,Specialist,Copper,30
14,Expert,Copper,33
15,Master,Copper,36
16,Grandmaster,Copper,38
17,Novice,Bronze,41
18,Apprentice,Bronze,44
19,Journeyman,Bronze,48
20,Adept,Bronze,51
21,Specialist,Bronze,54
22,Expert,Bronze,57
23,Master,Bronze,61
24,Grandmaster,Bronze,64
25,Novice,Silver,68
26,Apprentice,Silver,72
27,Journeyman,Silver,75
28,Adept,Silver,79
29,Specialist,Silver,83
30,Expert,Silver,87
31,Master,Silver,92
32,Grandmaster,Silver,96
33,Novice,Gold,100
34,Apprentice,Gold,105
35,Journeyman,Gold,109
36,Adept,Gold,114
37,Specialist,Gold,119
38,Expert,Gold,124
39,Master,Gold,129
40,Grandmaster,Gold,134
41,Novice,Platinum,140
42,Apprentice,Platinum,145
43,Journeyman,Platinum,151
44,Adept,Platinum,157
45,Specialist,Platinum,163
46,Expert,Platinum,169
47,Master,Platinum,175
48,Grandmaster,Platinum,182
49,Novice,Diamond,188
50,Apprentice,Diamond,195
51,Journeyman,Diamond,202
52,Adept,Diamond,209
53,Specialist,Diamond,216
54,Expert,Diamond,224
55,Master,Diamond,231
56,Grandmaster,Diamond,239
57,Novice,Obsidian,247
58,Apprentice,Obsidian,255
59,Journeyman,Obsidian,264
60,Adept,Obsidian,272
61,Specialist,Obsidian,281
62,Expert,Obsidian,290
63,Master,Obsidian,300
64,Grandmaster,Obsidian,309
65,Novice,Adamant,319
66,Apprentice,Adamant,329
67,Journeyman,Adamant,340
68,Adept,Adamant,350
69,Specialist,Adamant,361
70,Expert,Adamant,372
71,Master,Adamant,383
72,Grandmaster,Adamant,395
73,Novice,Celestial,407
74,Apprentice,Celestial,419
75,Journeyman,Celestial,432
76,Adept,Celestial,445
77,Specialist,Celestial,458
78,Expert,Celestial,472
79,Master,Celestial,486
80,Grandmaster,Celestial,500
